Time,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1698933300.374635,0.0,-0.04325576919538392,0.0,3.0857926897499763,-3.05460041301548,0.02471726979692057,0.0
1698933300.376131,0.0,-0.043257252056215015,0.0,3.085785021956053,-3.054599209046485,0.024720496749879618,0.0
1698933300.3761404,0.0,-0.04325751407573443,0.0,3.085783599516546,-3.0545985096501784,0.024721090533224688,0.0
1698933300.37672,0.0,-0.043258507487999316,0.0,3.0857796415906926,-3.054595267462896,0.0247201228892654,0.0
1698933300.376911,0.0,-0.04325667706834276,0.0,3.0857822096337784,-3.054598004517421,0.024718483617616003,0.0
1698933300.3778853,0.0,-0.04325723201805419,0.0,3.085779026284236,-3.054600576498036,0.024719432236645418,0.0
1698933300.379034,0.0,-0.04325629983729336,0.0,3.0857878782169745,-3.0545969226433987,0.02471662933625809,0.0
1698933300.380319,0.0,-0.04325763441577588,0.0,3.085785875763647,-3.0545959715486743,0.024719043934055565,0.0
1698933300.3810174,0.0,-0.04325670253971622,0.0,3.0857916735191897,-3.0545950243852236,0.024718744040743094,0.0
1698933300.382286,0.0,-0.04325658154110629,0.0,3.085782830042175,-3.054600111028342,0.024718605617575596,0.0
1698933300.3831394,0.0,-0.04325646575534867,0.0,3.0857907627349457,-3.054598632696344,0.024718617444374258,0.0
1698933300.383869,0.0,-0.04325789009286347,0.0,3.085783336286606,-3.0545923723581354,0.024719537164022597,0.0
1698933300.3848593,0.0,-0.04325677121427332,0.0,3.085786139315429,-3.054595733585055,0.024718002341869647,0.0
1698933300.3859012,0.0,-0.043257817915550834,0.0,3.085780883470059,-3.054595920739382,0.024716744910179594,0.0
1698933300.3869603,0.0,-0.043256115755271066,0.0,3.0857862281404063,-3.054596951024676,0.024718809001178996,0.0
1698933300.387884,0.0,-0.04325711288697287,0.0,3.085779106888266,-3.0546014524762937,0.024720273329231483,0.0
1698933300.3888826,0.0,-0.043255768229323664,0.0,3.085789487778061,-3.054599405352259,0.02471666044064561,0.0
1698933300.3899994,0.0,-0.043255218954836874,0.0,3.0857898926218117,-3.0545994212963583,0.02471808024094792,0.0
1698933300.390742,0.0,-0.043256645550037956,0.0,3.08578277851789,-3.054604049846534,0.024719983672793922,0.0
1698933300.3918676,0.0,-0.04325534769307897,0.0,3.0857919788403607,-3.054606719896002,0.024712453022325165,0.0
1698933300.3929143,0.0,-0.043256960177366036,0.0,3.085784388521612,-3.0546129462389273,0.024717507591753347,0.0
1698933300.3938532,0.0,-0.04325688470574867,0.0,3.0857852558567695,-3.0546125753729982,0.024722359213515496,0.0
1698933300.395056,0.0,-0.043256024967321706,0.0,3.085784415617869,-3.054613700177724,0.02471840887514038,0.0
1698933300.3957715,0.0,-0.04325627118349719,0.0,3.0857880778898608,-3.054613227740439,0.02471325557381912,0.0
1698933300.3970041,0.0,-0.043256774698153616,0.0,3.0857865617411884,-3.0546176713009894,0.02471926092719591,0.0
1698933300.397903,0.0,-0.04325726400382302,0.0,3.0857882931913942,-3.054614490082396,0.024712615942364482,0.0
1698933300.3992968,0.0,-0.04325620443215138,0.0,3.08578544545289,-3.054617145419276,0.024715829152029488,0.0
1698933300.4012995,0.0,-0.04325539230088174,0.0,3.0857908590731795,-3.0546204579844445,0.024715234587415827,0.0
1698933300.4013207,0.0,-0.0432557484336713,0.0,3.0857862719006555,-3.0546229908636224,0.02471349818120821,0.0
1698933300.4023504,0.0,-0.04325608439234492,0.0,3.0857884017308765,-3.054624334704877,0.024718438359618684,0.0
1698933300.4028692,0.0,-0.043253928559682686,0.0,3.0857904236492533,-3.054627099980519,0.024718138788430773,0.0
1698933300.4038665,0.0,-0.043255829421073935,0.0,3.0857890660055793,-3.0546263477402236,0.024716744281259258,0.0
1698933300.4049633,0.0,-0.043255724977794924,0.0,3.0857838410470824,-3.054629833765939,0.024721313660471575,0.0
1698933300.4059508,0.0,-0.04325527584976782,0.0,3.0857903517682956,-3.054632632266725,0.024720302787370342,0.0
1698933300.4069605,0.0,-0.04325542652660827,0.0,3.085792123240968,-3.05463911643044,0.02471448053746535,0.0
1698933300.4079258,0.0,-0.043254922221026726,0.0,3.085788638872387,-3.0546352379700714,0.024716057498510205,0.0
1698933300.409012,0.0,-0.043255225463760094,0.0,3.085789931576956,-3.0546370755541803,0.024713930349250773,0.0
1698933300.4099424,0.0,-0.04325426761601766,0.0,3.0857928770525924,-3.054642607102505,0.024714501297294994,0.0
1698933300.4107857,0.0,-0.043253019776737206,0.0,3.0857971817480268,-3.0546423389320894,0.024716537443707533,0.0
1698933300.4118745,0.0,-0.043253515264409084,0.0,3.0857908094076345,-3.05464093175687,0.024718193686771566,0.0
1698933300.4129605,0.0,-0.04325411588824152,0.0,3.0857961255408073,-3.0546424500584104,0.02471772117117607,0.0
1698933300.4139574,0.0,-0.04325506434116857,0.0,3.0857849841879856,-3.054644046445397,0.024719999312442956,0.0
1698933300.4152663,0.0,-0.043253422190665684,0.0,3.085794155419475,-3.05464175357637,0.024719251049996498,0.0
1698933300.4162717,0.0,-0.0432533483212095,0.0,3.0857923480985634,-3.054642984848583,0.024715266068647324,0.0
1698933300.4167871,0.0,-0.043253937317212145,0.0,3.085791494347731,-3.054645633848277,0.02471835981999496,0.0
1698933300.418089,0.0,-0.04325284863860807,0.0,3.0857914507924264,-3.0546437388871577,0.024717998324317446,0.0
1698933300.4188504,0.0,-0.04325448919645925,0.0,3.0857916634740254,-3.0546474441782268,0.024710902881141424,0.0
