Time,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1695126887.6859033,0.03349587861175233,0.0027603102739098655,0.06,0.0002714575552342029,0.0012583732722727527,-3.141333811752754,0.0
1695126887.6868956,0.033628399218693567,0.002792373811021607,0.06,0.0002770341117780802,0.0012606310908476633,-3.141335397949581,0.0
1695126887.688154,0.0337602572226001,0.0028243753496076697,0.06,0.0002780032267762902,0.001257113059489651,-3.1413380795142203,0.0
1695126887.6887949,0.033891455936487104,0.0028538488336429715,0.06,0.00027330603705106216,0.0012614596591738554,-3.1413414380538454,0.0
1695126887.689769,0.03402199865680467,0.002888825153510026,0.06,0.00028279778511444296,0.0012614435113033277,-3.1413419209367217,0.0
1695126887.6907926,0.034151888663520646,0.002922374240326902,0.06,0.0002849746314469643,0.0012591207578149675,-3.1413474757549107,0.0
1695126887.6916714,0.034281129220203044,0.002956113480675901,0.06,0.00029513490156482926,0.0012563969328689974,-3.1413520655480376,0.0
1695126887.6928718,0.03440972357410203,0.0029854918577282724,0.06,0.0002849605507341171,0.001256191400186868,-3.1413493352265958,0.0
1695126887.6944208,0.03453767495623152,0.003019679251923168,0.06,0.00028514429705023085,0.0012547159212510832,-3.14135342437308,0.0
1695126887.6962407,0.03466498658145037,0.003052754929983725,0.06,0.000288283233456446,0.0012599861030944419,-3.1413572802489327,0.0
1695126887.6973307,0.03479166164854312,0.0030859486246453825,0.06,0.0002877157399715734,0.00125427998197174,-3.141360653460719,0.0
1695126887.6973817,0.0349177033403004,0.003118455001206995,0.06,0.00028031333291604925,0.0012599913589823267,-3.1413629187607093,0.0
1695126887.69786,0.0350431148235989,0.0031523618817464014,0.06,0.00028446149447620305,0.001260549195594141,-3.1413630526884377,0.0
1695126887.6987,0.035167899249480904,0.0031875198660634377,0.06,0.000286784205894237,0.0012665838891200102,-3.1413661558169377,0.0
1695126887.6998544,0.035292059753233504,0.0032218971840277857,0.06,0.0002885423284078592,0.0012581672312671497,-3.141369608642141,0.0
1695126887.7008827,0.03541559945446734,0.0032565462938227816,0.06,0.0002951521529913701,0.0012589089543252794,-3.1413697382049466,0.0
1695126887.7020817,0.035538521457195,0.00328970049709951,0.06,0.0002952992840252476,0.0012568716583975506,-3.141371787118051,0.0
1695126887.7029068,0.035660828849909024,0.0033260157773041103,0.06,0.0003009882096238031,0.0012611098271199503,-3.1413725267171957,0.0
1695126887.7047796,0.03578252470565948,0.0033611929465288634,0.06,0.00030061082466447303,0.0012613724623103232,-3.1413744875291543,0.0
1695126887.704859,0.035903612082131185,0.0033936306094127866,0.06,0.0002948420261266115,0.0012629168066381896,-3.1413721974507207,0.0
1695126887.7058609,0.03602409402172053,0.0034277406393556226,0.06,0.00029052430816982664,0.0012641868250321945,-3.1413719917831973,0.0
1695126887.7078435,0.036143973551611926,0.003463872548987083,0.06,0.0002982058809997367,0.0012618811756886607,-3.1413700959817756,0.0
1695126887.707944,0.036263253683853865,0.003500936064637806,0.06,0.000304993761334411,0.0012647100199385422,-3.1413744451366727,0.0
1695126887.708691,0.0363819374154346,0.003537244183710746,0.06,0.00030604604000255653,0.0012635338507472596,-3.141373407080577,0.0
1695126887.7098222,0.03650002772835743,0.0035736601190781985,0.06,0.00030993264808288127,0.001262487178336938,-3.1413739402916776,0.0
1695126887.7114441,0.03661752758971564,0.0036078871843178975,0.06,0.0003053058047099778,0.0012581232349684532,-3.1413778485257704,0.0
1695126887.7121196,0.03673443995176706,0.003641740028841922,0.06,0.0003056533380252844,0.0012641995541612017,-3.141376827080765,0.0
1695126887.7127843,0.036850767752008226,0.0036778721687769906,0.06,0.0003073497584550255,0.0012663774121355225,-3.1413763229151854,0.0
1695126887.715484,0.036966513913248185,0.0037146739334565208,0.06,0.0003144264329925576,0.0012594153387920732,-3.141375827675452,0.0
1695126887.716701,0.03708168134368194,0.0037514220057916913,0.06,0.000310884956065276,0.001268818967285978,-3.1413753836381932,0.0
1695126887.7167242,0.03719627293696354,0.0037887544992958244,0.06,0.0003136066126096822,0.001260668224483686,-3.1413745337330714,0.0
1695126887.7173207,0.03731029157227872,0.0038254116396475198,0.06,0.0003159056713120551,0.0012609560408497296,-3.1413751663568372,0.0
1695126887.7180831,0.03742374011441733,0.003863839219775703,0.06,0.000322025174966457,0.0012677676875388112,-3.1413715378469598,0.0
1695126887.7191463,0.03753662141384524,0.0038986296810327664,0.06,0.0003172246017481048,0.0012664151815173286,-3.141371385865964,0.0
1695126887.7203493,0.037648938306776014,0.003934900965978612,0.06,0.0003228623472283373,0.0012640392738298358,-3.141375772176764,0.0
1695126887.7210696,0.03776069361524213,0.003969774843245914,0.06,0.00031419777801747103,0.0012574621419471595,-3.141374349827268,0.0
1695126887.721783,0.037871890147165924,0.004007656521621432,0.06,0.0003135287908131994,0.0012627412347635417,-3.1413761145286525,0.0
1695126887.7228897,0.037982530696430095,0.004044318114473049,0.06,0.0003134930044210411,0.0012659575307311568,-3.14137687868532,0.0
1695126887.7239556,0.038092618042947946,0.004084068517609288,0.06,0.00032710177803512965,0.001267470089796135,-3.1413796504713214,0.0
1695126887.7249002,0.037902154952733205,0.004120055725255941,-0.0,0.000327926515779863,0.0012659945731586244,-3.141380407910194,0.0
1695126887.7258868,0.03771264417796954,0.004158974194171049,-0.0,0.00033313349523562264,0.0012682208348720808,-3.141380742865861,0.0
1695126887.7267535,0.03752408095707969,0.00419678976008694,-0.0,0.0003349062186915727,0.001264398591526641,-3.141380874133362,0.0
